time	a1	b1	c1	d1	e1
0 	512	653	582	524	525
300 	539	717	604	534	529
600 	576	782	644	571	590
900 	607	849	792	821	1040
1200 	644	922	1141	1443	1977
1500 	685	1040	1708	2527	3626
1800 	725	1153	2472	4111	5778
2100 	802	1361	3567	6493	8714
2400 	896	1547	4734	9172	11669
2700 	1030	1834	6300	12510	15211
3000 	1145	2063	7786	15573	18261
3300 	1270	2340	9519	18847	21492
3600 	1396	2687	11535	22454	24952
3900 	1519	2985	13392	25520	27901
4200 	1611	3220	15049	28078	30269
4500 	1776	3581	17137	31345	33383
4800 	1893	3855	18855	33985	35887
5100 	1967	4053	20121	35837	37619
5400 	2078	4315	21658	37969	39767
5700 	2178	4554	23108	40044	41530
6000 	2328	4864	24893	42403	43807
6300 	2424	5104	26289	44065	45356
6600 	2502	5284	27448	44715	45879
6900 	2526	5371	28171	45801	46801
7200 	2592	5627	29588	46641	47588
7500 	2715	5789	30599	48003	48903
7800 	2778	5950	31650	48859	49675
8100 	2825	6061	32365	49155	49957
8400 	2822	6071	32629	48977	49705
8700 	2914	6272	33628	49800	50589
9000 	2955	6376	34234	50151	50994
9300 	2931	6342	34677	50392	51262
9600 	3020	6530	35138	50658	51448
9900 	3057	6595	35486	50867	51722
10200 	3077	6658	35698	50925	51766
10500 	3089	6691	35837	51012	51779
10800 	3049	6617	35529	50463	51344
